0	7611
0	9991
0	5943
0	7391
0	7511
1	7263
1	6301
1	7533
1	9358
1	9208
1	7518
1	8976
1	9745
2	9083
2	7335
2	9322
2	6178
3	593
3	3807
3	8832
4	8637
4	8376
4	692
5	6977
5	4609
5	6272
6	436
6	8919
6	3732
6	8440
6	6776
6	4968
6	4971
6	6466
7	2216
7	5010
7	5011
7	1061
7	4242
8	2265
8	3704
8	8928
9	3207
9	9830
9	6754
9	7886
9	3177
9	5183
9	7740
9	2313
9	4791
9	9816
9	6473
9	8901
10	2279
10	6595
10	9716
10	3901
10	2971
10	2288
10	9515
10	334
10	6101
10	1518
10	1235
10	958
10	3909
10	6846
10	4112
10	9248
10	7609
10	4718
10	3379
10	3235
10	3220
10	9968
10	6431
10	9612
10	5051
10	3781
10	8109
10	1856
10	7983
10	9791
10	8551
10	3153
10	1151
10	4635
10	6411
10	2953
10	9824
10	6773
10	2798
10	4208
10	9809
10	7532
10	7933
10	569
10	2278
10	979
10	2642
10	3775
10	9792
10	5667
10	5151
10	3475
10	6103
10	3916
10	7632
10	7921
10	4261
10	8928
10	85
10	312
10	8080
10	3668
10	9611
10	1617
10	4043
10	1217
10	8070
10	1519
10	6745
10	8134
10	8824
10	7646
10	10152
10	4331
10	9887
10	1922
10	6718
10	3097
11	10140
11	8641
11	9134
11	9537
11	10191
11	9949
11	8737
11	7234
12	5781
12	9205
12	6694
12	1269
13	5881
13	4992
13	5222
13	5561
13	5562
14	2259
14	7383
14	620
14	1001
15	2666
15	3815
15	4847
15	8284
15	1791
16	7092
16	5979
16	5734
16	4336
16	5425
16	643
16	2527
16	522
16	6090
16	10081
16	4410
16	1622
17	6714
17	5944
17	3121
17	7806
18	7930
18	8824
18	5839
18	3409
18	6050
18	4304
19	4010
19	5286
19	3214
19	6332
19	3895
19	4084
19	6681
19	4830
19	6541
20	1856
20	8520
20	4064
20	7130
20	3731
21	9428
21	9618
21	9612
21	10084
22	6317
22	4520
22	6712
22	5840
22	5457
23	591
